Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
red-chutney-masala,Chutney Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,35g,Pack Type,Pouch,35,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Red_Chutney_Rs_10_Front_3D.png?v=1787636523,active,Easy to Cook
classic-garam-masala,Classic Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,25,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/93_800x800_2fd50e1c-1c3c-4e2f-b248-9bc3db83adba.png?v=1787885406,active,Garam Masala
cocoa-powder,Cold Coco Powder,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, essentials, jain-friendly, pouch, rs-10-sachet",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,35,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Cocoa_Powder_Rs_10_Front_3D.png?v=1787636508,active,Easy to Cook
coriander-and-cumin-powder,Coriander & Cumin Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,43,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/85_800x800.png,Coriander & Cumin Powder Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/85_800x800.png,active,Essential Powder Products
coriander-and-cumin-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,84,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/85_800x800.png,,
coriander-and-cumin-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,200,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/85_800x800.png,,
coriander-powder,Coriander Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/83_800x800.png,Coriander Powder Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/83_800x800.png,active,Essential Powder Products
coriander-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,82,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/83_800x800.png,,
coriander-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,200,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/83_800x800.png,,
coriander-powder,,,,,,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,385,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/83_800x800.png,,
cumin-powder,Cumin Powder,Dhanhar Vishesh,Essential Powder Products,"bestseller, easy-to-cook, essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Cumin_Powder_Rs_10_Front_3D.png?v=1787636510,active,Essential Powder Products
cumin-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,300,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Cumin_Powder_Rs_10_Front_3D.png?v=1787636510,,
dabeli-masala,Dabeli Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,18g,Pack Type,Pouch,18,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Dabeli_Rs_10_Front_3D.png?v=1787636511,active,Easy to Cook
dalshak-masala,Dalshak Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, pouch",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,260,TRUE,TRUE,,,,active,Garam Masala
ginger-powder,Dry Ginger Powder,Dhanhar Vishesh,Essential Powder Products,"easy-to-cook, essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Ginger_Powder_Rs_10_Front_3D.png?v=1787636514,active,Essential Powder Products
ginger-powder,,,,,,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,46,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Ginger_Powder_Rs_10_Front_3D.png?v=1787636514,,
ginger-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,375,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Ginger_Powder_Rs_10_Front_3D.png?v=1787636514,,
egg-curry-masala,Egg Curry Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Egg_Curry_Rs_10_Front_3D.png?v=1787636511,active,Easy to Cook
fish-masala,Fish Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Fish_Rs_10_Front_3D.png?v=1787636513,active,Easy to Cook
frankie-masala,Frankie Masala,Dhanhar Vishesh,Easy to Cook,"bestseller, easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,17g,Pack Type,Pouch,17,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Frankie_Rs_10_Front_3D.png?v=1787636514,active,Easy to Cook
gol-keri-aachar-masala,Gol Keri Aachar Masala,Dhanhar Vishesh,Achari Vichar,"aachar-masala-products, achari-vichar, jain-friendly, pouch",TRUE,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,110,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/101_800x800_831a59e3-6127-4301-8ab0-fa407ef09724.png?v=1787885408,active,Achari Vichar
gol-keri-aachar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,270,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/101_800x800_831a59e3-6127-4301-8ab0-fa407ef09724.png?v=1787885408,,
green-label-compound-hing,Green Label Compound Hing,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,415,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/103_800x800_fcc065e1-db56-43b2-9f02-e54724865f23.png?v=1787885408,active,Compound Hing Powder (Asafoetida)
idli-sambar-masala,Idli-Sambar Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800_ffb6c4dc-a992-4bd7-adc7-94fd39180878.png?v=1787912458,active,Premium Blended Spices
idli-sambar-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800_ffb6c4dc-a992-4bd7-adc7-94fd39180878.png?v=1787912458,,
idli-sambar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,345,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/114.png?v=1787884227,,
jaljira-powder,Jaljira Powder,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, premium-blended-spices",TRUE,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,63,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_127_800x800_3e0491fe-6091-44b4-960c-cc7a0144d9eb.png?v=1787912459,active,Premium Blended Spices
jaljira-powder,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,275,TRUE,TRUE,,,,,
kadhi-masala,Kadhi Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,27g,Pack Type,Pouch,27,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Kadhi_Rs_10_Front_3D.png?v=1787636515,active,Easy to Cook
kashmiri-chilli-powder,Kashmiri Chilli Powder,Dhanhar Vishesh,Essential Powder Products,"box, essential-powder-products, jar",TRUE,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,127,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_129_800x800_c221afea-09c4-46f4-84eb-01ae2bb9d3e4.png?v=1787912461,active,Essential Powder Products
kashmiri-chilli-powder,,,,,,Pack Size,200g,Pack Type,Jar,200,shopify,100,deny,manual,257,TRUE,TRUE,,,,,
kashmiri-chilli-powder,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,625,TRUE,TRUE,,,,,
khichdi-masala,Khichdi Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,23g,Pack Type,Pouch,23,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Khichdi_Rs_10_Front_3D.png?v=1787636516,active,Easy to Cook
kitchen-king-masala,Kitchen-King Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jar, premium-blended-spices",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_131_800x800_c9b0aa5d-737f-4767-9fbe-4f8d539a978d.png?v=1787912463,active,Premium Blended Spices
kitchen-king-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_131_800x800_c9b0aa5d-737f-4767-9fbe-4f8d539a978d.png?v=1787912463,,
kitchen-king-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
lajawab-garam-masala,Lajawab Garam Masala,Dhanhar Vishesh,Garam Masala,"box, garam-masala, jain-friendly",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_133_800x800_c605ee21-ffe5-4d1a-9e67-9b87517b87dc.png?v=1787912463,active,Garam Masala
lajawab-garam-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_133_800x800_c605ee21-ffe5-4d1a-9e67-9b87517b87dc.png?v=1787912463,,
methi-powder,Methi Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,100,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/71_800x800_501ed1b0-04d8-4e85-b4d1-226148db0493.png?v=1787885403,active,Essential Powder Products
mutton-masala,Mutton Masala,Dhanhar Vishesh,Premium Blended Spices,"box, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_135_800x800_3cfa3965-6676-4331-bc11-c3afbfb1ab8b.png?v=1787912465,active,Premium Blended Spices
mutton-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_135_800x800_3cfa3965-6676-4331-bc11-c3afbfb1ab8b.png?v=1787912465,,
no-300-compound-hing-powder,No.300 compound Hing Powder,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"compound-hing-powder-asafoetida, jain-friendly, pouch",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,30,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/77_800x800.png,No.300 compound Hing Powder Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/77_800x800.png,active,Compound Hing Powder (Asafoetida)
no-300-compound-hing-powder,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,58,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/77_800x800.png,,
no-300-compound-hing-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,115,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/77_800x800.png,,
no-300-compound-hing-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,285,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/77_800x800.png,,
oregano,Oregano Flakes,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Oregano_Rs_10_Front_3D.png?v=1787636519,active,Easy to Cook
paneer-tikka-masala,Paneer Tikka Masala,Dhanhar Vishesh,Premium Blended Spices,"bestseller, box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_137_800x800_b0ec6c7e-53c4-4a1c-9a14-c8c5d1f76cd0.png?v=1787912467,active,Premium Blended Spices
paneer-tikka-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_137_800x800_b0ec6c7e-53c4-4a1c-9a14-c8c5d1f76cd0.png?v=1787912467,,
panipuri-masala,Panipuri Masala,Dhanhar Vishesh,Premium Blended Spices,"bestseller, box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,26,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_139_800x800_845aaf37-25dc-4778-a7de-032bddd55ae0.png?v=1787912468,active,Premium Blended Spices
panipuri-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,50,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_139_800x800_845aaf37-25dc-4778-a7de-032bddd55ae0.png?v=1787912468,,
pasta-masala,Pasta Masala,Dhanhar Vishesh,Easy to Cook,"bestseller, easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,30g,Pack Type,Pouch,30,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Pasta_Rs_10_Front_3D.png?v=1787636520,active,Easy to Cook
pavbhaji-masala,Pavbhaji Masala,Dhanhar Vishesh,Premium Blended Spices,"bestseller, box, jain-friendly, jar, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_141_800x800_88e416fd-bcde-4576-ab6a-55e2b997f4c8.png?v=1787912485,active,Premium Blended Spices
pavbhaji-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_141_800x800_88e416fd-bcde-4576-ab6a-55e2b997f4c8.png?v=1787912485,,
pavbhaji-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,415,TRUE,TRUE,,,,,
peepramul-powder,Peepramul Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,75,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/79_800x800.png,Peepramul Powder Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/79_800x800.png,active,Essential Powder Products
pizza-masala,Pizza Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,17g,Pack Type,Pouch,17,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Pizza_Rs_10_Front_3D.png?v=1787636522,active,Easy to Cook
premium-compound-hing-powder,Premium Compound Hing Powder,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,48,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/111_800x800_5ed1d8df-ac75-4783-9d69-5127cd0ecb6f.png?v=1787885412,active,Compound Hing Powder (Asafoetida)
