Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
classic-garam-masala,Classic Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,25,TRUE,TRUE,,,,active,Garam Masala
cocoa-powder,Cold Coco Powder,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, essentials, jain-friendly, pouch, rs-10-sachet",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,35,TRUE,TRUE,,,,active,Easy to Cook
coriander-and-cumin-powder,Coriander & Cumin Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,43,TRUE,TRUE,,,,active,Essential Powder Products
coriander-and-cumin-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,84,TRUE,TRUE,,,,,
coriander-and-cumin-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,200,TRUE,TRUE,,,,,
coriander-powder,Coriander Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,42,TRUE,TRUE,,,,active,Essential Powder Products
coriander-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,82,TRUE,TRUE,,,,,
coriander-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,200,TRUE,TRUE,,,,,
coriander-powder,,,,,,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,385,TRUE,TRUE,,,,,
cumin-powder,Cumin Powder,Dhanhar Vishesh,Essential Powder Products,"bestseller, easy-to-cook, essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Essential Powder Products
cumin-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,300,TRUE,TRUE,,,,,
dabeli-masala,Dabeli Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,18g,Pack Type,Pouch,18,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
dalshak-masala,Dalshak Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, pouch",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,260,TRUE,TRUE,,,,active,Garam Masala
ginger-powder,Dry Ginger Powder,Dhanhar Vishesh,Essential Powder Products,"easy-to-cook, essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Essential Powder Products
ginger-powder,,,,,,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,46,TRUE,TRUE,,,,,
ginger-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
egg-curry-masala,Egg Curry Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
fish-masala,Fish Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
frankie-masala,Frankie Masala,Dhanhar Vishesh,Easy to Cook,"bestseller, easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,17g,Pack Type,Pouch,17,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
gol-keri-aachar-masala,Gol Keri Aachar Masala,Dhanhar Vishesh,Achari Vichar,"aachar-masala-products, achari-vichar, jain-friendly, pouch",TRUE,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,110,TRUE,TRUE,,,,active,Achari Vichar
gol-keri-aachar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,270,TRUE,TRUE,,,,,
green-label-compound-hing,Green Label Compound Hing,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,415,TRUE,TRUE,,,,active,Compound Hing Powder (Asafoetida)
idli-sambar-masala,Idli-Sambar Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800.png,Idli-Sambar Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800.png,active,Premium Blended Spices
idli-sambar-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_147_800x800.png,,
idli-sambar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,345,TRUE,TRUE,,,,,
idli-sambar-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_148_800x800.png,Idli-Sambar Masala box back,,,
jaljira-powder,Jaljira Powder,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, premium-blended-spices",TRUE,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,63,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_127_800x800.png,Jaljira Powder 100g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_127_800x800.png,active,Premium Blended Spices
jaljira-powder,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,275,TRUE,TRUE,,,,,
jaljira-powder,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_128_800x800.png,Jaljira Powder box back,,,
kadhi-masala,Kadhi Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,27g,Pack Type,Pouch,27,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
kashmiri-chilli-powder,Kashmiri Chilli Powder,Dhanhar Vishesh,Essential Powder Products,"box, essential-powder-products, jar",TRUE,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,127,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_129_800x800.png,Kashmiri Chilli Powder 100g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_129_800x800.png,active,Essential Powder Products
kashmiri-chilli-powder,,,,,,Pack Size,200g,Pack Type,Jar,200,shopify,100,deny,manual,257,TRUE,TRUE,,,,,
kashmiri-chilli-powder,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,625,TRUE,TRUE,,,,,
kashmiri-chilli-powder,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_130_800x800.png,Kashmiri Chilli Powder box back,,,
khichdi-masala,Khichdi Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,23g,Pack Type,Pouch,23,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
kitchen-king-masala,Kitchen-King Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jar, premium-blended-spices",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_131_800x800.png,Kitchen-King Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_131_800x800.png,active,Premium Blended Spices
kitchen-king-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_131_800x800.png,,
kitchen-king-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
kitchen-king-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_132_800x800.png,Kitchen-King Masala box back,,,
lajawab-garam-masala,Lajawab Garam Masala,Dhanhar Vishesh,Garam Masala,"box, garam-masala, jain-friendly",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_133_800x800.png,Lajawab Garam Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_133_800x800.png,active,Garam Masala
lajawab-garam-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_133_800x800.png,,
lajawab-garam-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_134_800x800.png,Lajawab Garam Masala box back,,,
methi-powder,Methi Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,100,TRUE,TRUE,,,,active,Essential Powder Products
mutton-masala,Mutton Masala,Dhanhar Vishesh,Premium Blended Spices,"box, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_135_800x800.png,Mutton Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_135_800x800.png,active,Premium Blended Spices
mutton-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_135_800x800.png,,
mutton-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_136_800x800.png,Mutton Masala box back,,,
no-300-compound-hing-powder,No.300 compound Hing Powder,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"compound-hing-powder-asafoetida, jain-friendly, pouch",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,30,TRUE,TRUE,,,,active,Compound Hing Powder (Asafoetida)
no-300-compound-hing-powder,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,58,TRUE,TRUE,,,,,
no-300-compound-hing-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,115,TRUE,TRUE,,,,,
no-300-compound-hing-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,285,TRUE,TRUE,,,,,
oregano,Oregano Flakes,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
paneer-tikka-masala,Paneer Tikka Masala,Dhanhar Vishesh,Premium Blended Spices,"bestseller, box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_137_800x800.png,Paneer Tikka Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_137_800x800.png,active,Premium Blended Spices
paneer-tikka-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_137_800x800.png,,
paneer-tikka-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_138_800x800.png,Paneer Tikka Masala box back,,,
panipuri-masala,Panipuri Masala,Dhanhar Vishesh,Premium Blended Spices,"bestseller, box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,26,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_139_800x800.png,Panipuri Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_139_800x800.png,active,Premium Blended Spices
panipuri-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,50,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_139_800x800.png,,
panipuri-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_140_800x800.png,Panipuri Masala box back,,,
pasta-masala,Pasta Masala,Dhanhar Vishesh,Easy to Cook,"bestseller, easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,30g,Pack Type,Pouch,30,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
pavbhaji-masala,Pavbhaji Masala,Dhanhar Vishesh,Premium Blended Spices,"bestseller, box, jain-friendly, jar, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_141_800x800.png,Pavbhaji Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_141_800x800.png,active,Premium Blended Spices
pavbhaji-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_141_800x800.png,,
pavbhaji-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,415,TRUE,TRUE,,,,,
pavbhaji-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_142_800x800.png,Pavbhaji Masala box back,,,
peepramul-powder,Peepramul Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,75,TRUE,TRUE,,,,active,Essential Powder Products
pizza-masala,Pizza Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jhatpat-jugad, not-jain-friendly, pouch, rs-10-masala-products",TRUE,Pack Size,17g,Pack Type,Pouch,17,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
premium-compound-hing-powder,Premium Compound Hing Powder,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,48,TRUE,TRUE,,,,active,Compound Hing Powder (Asafoetida)
premium-compound-hing-powder,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,93,TRUE,TRUE,,,,,
premium-compound-hing-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,185,TRUE,TRUE,,,,,
premium-compound-hing-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,460,TRUE,TRUE,,,,,
special-tea-masala,Premium Tea Masala,Dhanhar Vishesh,Tea Masala,"bestseller, box, chai-pai-charcha, jain-friendly, tea-masala, tea-masala-products",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,65,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_143_800x800.png,Premium Tea Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_143_800x800.png,active,Tea Masala
special-tea-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,125,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_143_800x800.png,,
special-tea-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_144_800x800.png,Premium Tea Masala box back,,,
punjabi-gravy-masala,Punjabi Gravy Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_145_800x800.png,Punjabi Gravy Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_145_800x800.png,active,Premium Blended Spices
punjabi-gravy-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_145_800x800.png,,
punjabi-gravy-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
punjabi-gravy-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_146_800x800.png,Punjabi Gravy Masala box back,,,
rajgara-atta,Rajgara Atta,Dhanhar Vishesh,Fasting Products,"fasting-products, jain-friendly, pouch, upwas-products, vrat-ki-thali",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,28,TRUE,TRUE,,,,active,Fasting Products
rajgara-atta,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,54,TRUE,TRUE,,,,,
rajgara-atta,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,130,TRUE,TRUE,,,,,
rajwadi-garam-masala,Rajwadi Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,33,TRUE,TRUE,,,,active,Garam Masala
rajwadi-garam-masala,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,65,TRUE,TRUE,,,,,
